GET /users/new 304 - - 4.945 ms
GET /users/new 304 - - 3.426 ms
POST /users/new 400 114 - 45.803 ms
POST /users/new 200 36 - 5.666 ms
POST /users/new 201 191 - 49.292 ms
POST /users/new 400 118 - 8.313 ms
POST /users/new 400 118 - 4.611 ms
POST /users/new 400 195 - 33.358 ms
POST /users/new 400 139 - 33.510 ms
POST /users/new 400 142 - 6.300 ms
::1 - - [07/Aug/2022:13:12:44 +0000] "POST /users/new HTTP/1.1" 201 195 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:15:41 +0000] "POST /tickets/new HTTP/1.1" 403 49 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:06 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:17 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:25 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:32 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:38 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:45 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:52 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:16:58 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:17:04 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:17:13 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:20:14 +0000] "POST /tickets/markasclosed HTTP/1.1" 500 88 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:20:59 +0000] "POST /tickets/markasclosed HTTP/1.1" 500 88 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:21:50 +0000] "POST /tickets/markasclosed HTTP/1.1" 400 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:22:08 +0000] "POST /tickets/markasclosed HTTP/1.1" 400 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:23:12 +0000] "POST /tickets/markasclosed HTTP/1.1" 400 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:24:06 +0000] "POST /tickets/markasclosed HTTP/1.1" 400 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:24:50 +0000] "POST /tickets/markasclosed HTTP/1.1" 200 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:25:22 +0000] "POST /tickets/markasclosed HTTP/1.1" 200 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:27:05 +0000] "POST /tickets/markasclosed HTTP/1.1" 200 306 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:28:01 +0000] "POST /tickets/markasclosed HTTP/1.1" 200 549 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:28:14 +0000] "POST /tickets/markasclosed HTTP/1.1" 200 306 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:28:28 +0000] "POST /tickets/markasclosed HTTP/1.1" 200 36 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:29:35 +0000] "POST /tickets/delete HTTP/1.1" 200 37 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:13:30:30 +0000] "POST /tickets/delete HTTP/1.1" 403 49 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:14:11:01 +0000] "POST /users/new HTTP/1.1" 400 114 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:14:19:42 +0000] "GET /tickets/?status=close HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:14:20:17 +0000] "GET /tickets/?priority=high HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:14:20:25 +0000] "GET /tickets/?priority=medium HTTP/1.1" 200 244 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:14:20:32 +0000] "GET /tickets/?priority=low HTTP/1.1" 200 1923 "-" "PostmanRuntime/7.29.0"
